Data,Descrizione,Importo
01/01/2024,Spesa supermercato Conad,"45,50"
02/01/2024,Rifornimento benzina Eni,"60,00"
03/01/2024,Ristorante pizzeria,"35,80"
05/01/2024,Farmacia medicina,"18,90"
07/01/2024,Bolletta Enel luce,"85,00"
08/01/2024,Amazon shopping online,"67,20"
10/01/2024,Bar caffè,"3,50"
12/01/2024,Spesa Esselunga,"52,30"
15/01/2024,Benzina Q8,"55,00"
18/01/2024,Cinema biglietti,"24,00"
20/01/2024,Ristorante giapponese,"48,50"
22/01/2024,Palestra abbonamento mensile,"45,00"
25/01/2024,Bolletta gas,"72,50"
28/01/2024,Spesa settimanale Lidl,"38,90"
30/01/2024,Parrucchiere,"35,00"
